agency_cd,site_no,datetime,tz_cd,Discharge,Temperature,Dissolved oxygen,pH
USGS,6711565,2021-03-12 00:00,MST,44.5,8.1,8.3,8.1
USGS,6711565,2021-03-12 00:15,MST,44.5,8.1,8.2,8.1
USGS,6711565,2021-03-12 00:30,MST,44.5,8.1,8.2,8.1
USGS,6711565,2021-03-12 00:45,MST,44.5,8.1,8.1,8.1
USGS,6711565,2021-03-12 01:00,MST,44.5,8.1,8.1,8.1
USGS,6711565,2021-03-12 01:15,MST,44.5,8.1,8.1,8.1
USGS,6711565,2021-03-12 01:30,MST,44.5,8,8,8.1
USGS,6711565,2021-03-12 01:45,MST,44.5,8,8,8.1
USGS,6711565,2021-03-12 02:00,MST,44.5,8,8,8.1
USGS,6711565,2021-03-12 02:15,MST,44.5,8,8,8.1
USGS,6711565,2021-03-12 02:30,MST,44.5,7.9,8,8.1
USGS,6711565,2021-03-12 02:45,MST,44.5,7.9,7.9,8.1
USGS,6711565,2021-03-12 03:00,MST,44.5,7.8,8,8.1
USGS,6711565,2021-03-12 03:15,MST,44.5,7.8,8,8.1
USGS,6711565,2021-03-12 03:30,MST,44.5,7.7,8,8.1
USGS,6711565,2021-03-12 03:45,MST,44.5,7.7,8,8.1
USGS,6711565,2021-03-12 04:00,MST,46.5,7.6,8,8.1
USGS,6711565,2021-03-12 04:15,MST,46.5,,8,8.1
USGS,6711565,2021-03-12 04:30,MST,46.5,7.5,8,8.1
USGS,6711565,2021-03-12 04:45,MST,46.5,7.5,8,8.1
USGS,6711565,2021-03-12 05:00,MST,46.5,7.4,8,8
USGS,6711565,2021-03-12 05:15,MST,46.5,7.4,8,8
USGS,6711565,2021-03-12 05:30,MST,48.5,7.3,8.1,8
USGS,6711565,2021-03-12 05:45,MST,48.5,7.3,8.1,8
USGS,6711565,2021-03-12 06:00,MST,48.5,7.2,8.1,8
USGS,6711565,2021-03-12 06:15,MST,48.5,7.1,8.1,8
USGS,6711565,2021-03-12 06:30,MST,48.5,7.1,8.2,7.9
USGS,6711565,2021-03-12 06:45,MST,48.5,7,8.2,7.9
USGS,6711565,2021-03-12 07:00,MST,48.5,7,8.2,7.9
USGS,6711565,2021-03-12 07:15,MST,48.5,6.9,8.2,7.9
USGS,6711565,2021-03-12 07:30,MST,48.5,6.9,8.3,7.9
USGS,6711565,2021-03-12 07:45,MST,48.5,6.8,8.3,7.9
USGS,6711565,2021-03-12 08:00,MST,48.5,6.8,8.4,7.9
USGS,6711565,2021-03-12 08:15,MST,48.5,6.7,8.4,7.9
USGS,6711565,2021-03-12 08:30,MST,46.5,6.7,8.5,7.9
USGS,6711565,2021-03-12 08:45,MST,46.5,6.7,8.6,7.9
USGS,6711565,2021-03-12 09:00,MST,46.5,6.7,8.7,7.9
USGS,6711565,2021-03-12 09:15,MST,46.5,6.7,8.8,7.9
USGS,6711565,2021-03-12 09:30,MST,46.5,6.7,8.9,7.9
USGS,6711565,2021-03-12 09:45,MST,46.5,6.7,9,7.9
USGS,6711565,2021-03-12 10:00,MST,44.5,6.7,9.2,7.9
USGS,6711565,2021-03-12 10:15,MST,44.5,6.7,9.4,7.9
USGS,6711565,2021-03-12 10:30,MST,44.5,6.7,9.6,7.9
USGS,6711565,2021-03-12 10:45,MST,44.5,6.8,9.8,7.9
USGS,6711565,2021-03-12 11:00,MST,44.5,6.8,10,7.9
USGS,6711565,2021-03-12 11:15,MST,44.5,6.9,10.3,7.9
USGS,6711565,2021-03-12 11:30,MST,42.6,6.9,10.4,8
USGS,6711565,2021-03-12 11:45,MST,42.6,7,10.6,8
USGS,6711565,2021-03-12 12:00,MST,42.6,7,10.9,8
USGS,6711565,2021-03-12 12:15,MST,42.6,7.1,11.1,8
USGS,6711565,2021-03-12 12:30,MST,42.6,7.2,11.2,8
USGS,6711565,2021-03-12 12:45,MST,42.6,7.3,11.4,8
USGS,6711565,2021-03-12 13:00,MST,40.8,7.4,11.6,8.1
USGS,6711565,2021-03-12 13:15,MST,40.8,7.5,11.8,8.1
USGS,6711565,2021-03-12 13:30,MST,40.8,7.6,11.9,8.1
USGS,6711565,2021-03-12 13:45,MST,40.8,7.7,12.1,8.1
USGS,6711565,2021-03-12 14:00,MST,40.8,7.9,12.2,8.1
USGS,6711565,2021-03-12 14:15,MST,40.8,8,12.4,8.1
USGS,6711565,2021-03-12 14:30,MST,39,8.1,12.7,8.2
USGS,6711565,2021-03-12 14:45,MST,39,8.3,12.8,8.2
USGS,6711565,2021-03-12 15:00,MST,39,8.4,12.9,8.2
USGS,6711565,2021-03-12 15:15,MST,39,8.4,13,8.2
USGS,6711565,2021-03-12 15:30,MST,39,8.5,13.1,8.2
USGS,6711565,2021-03-12 15:45,MST,39,8.5,13.1,8.2
USGS,6711565,2021-03-12 16:00,MST,39,8.5,13.1,8.2
USGS,6711565,2021-03-12 16:15,MST,40.8,8.5,13.1,8.2
USGS,6711565,2021-03-12 16:30,MST,40.8,8.5,12.9,8.2
USGS,6711565,2021-03-12 16:45,MST,40.8,8.4,12.7,8.2
USGS,6711565,2021-03-12 17:00,MST,40.8,8.4,12.5,8.2
USGS,6711565,2021-03-12 17:15,MST,40.8,8.4,12.2,8.1
USGS,6711565,2021-03-12 17:30,MST,42.6,8.4,12,8.1
USGS,6711565,2021-03-12 17:45,MST,42.6,8.4,11.8,8.1
USGS,6711565,2021-03-12 18:00,MST,42.6,8.3,11.5,8.1
USGS,6711565,2021-03-12 18:15,MST,44.5,8.3,11.3,8
USGS,6711565,2021-03-12 18:30,MST,44.5,8.3,11.1,8
USGS,6711565,2021-03-12 18:45,MST,44.5,8.3,11,8
USGS,6711565,2021-03-12 19:00,MST,44.5,8.3,10.9,8
USGS,6711565,2021-03-12 19:15,MST,44.5,8.3,10.7,8
USGS,6711565,2021-03-12 19:30,MST,46.5,8.2,10.6,8
USGS,6711565,2021-03-12 19:45,MST,46.5,8.2,10.4,8
USGS,6711565,2021-03-12 20:00,MST,46.5,8.2,10.3,8
USGS,6711565,2021-03-12 20:15,MST,46.5,8.1,10.2,7.9
USGS,6711565,2021-03-12 20:30,MST,46.5,8.1,10,7.9
USGS,6711565,2021-03-12 20:45,MST,46.5,8,9.9,7.9
USGS,6711565,2021-03-12 21:00,MST,46.5,8,9.8,7.9
USGS,6711565,2021-03-12 21:15,MST,46.5,8,9.6,7.9
USGS,6711565,2021-03-12 21:30,MST,46.5,7.9,9.5,7.9
USGS,6711565,2021-03-12 21:45,MST,46.5,7.9,9.4,7.9
USGS,6711565,2021-03-12 22:00,MST,46.5,7.8,9.2,7.9
USGS,6711565,2021-03-12 22:15,MST,46.5,7.8,9.1,7.9
USGS,6711565,2021-03-12 22:30,MST,46.5,7.8,9,7.9
USGS,6711565,2021-03-12 22:45,MST,44.5,7.8,8.9,7.9
USGS,6711565,2021-03-12 23:00,MST,44.5,7.7,8.9,7.9
USGS,6711565,2021-03-12 23:15,MST,44.5,7.7,8.8,7.9
USGS,6711565,2021-03-12 23:30,MST,44.5,7.7,8.7,7.9
USGS,6711565,2021-03-12 23:45,MST,44.5,7.7,8.6,8
USGS,6711565,2021-03-13 00:00,MST,44.5,7.7,8.6,8
USGS,6711565,2021-03-13 00:15,MST,44.5,7.7,8.6,8
USGS,6711565,2021-03-13 00:30,MST,44.5,7.7,8.5,8
USGS,6711565,2021-03-13 00:45,MST,44.5,7.7,8.5,8
USGS,6711565,2021-03-13 01:00,MST,44.5,7.7,8.4,8
USGS,6711565,2021-03-13 01:15,MST,44.5,7.7,8.4,8
USGS,6711565,2021-03-13 01:30,MST,44.5,7.7,8.4,8
USGS,6711565,2021-03-13 01:45,MST,44.5,7.7,8.3,8
USGS,6711565,2021-03-13 02:00,MST,44.5,7.7,8.3,8
USGS,6711565,2021-03-13 02:15,MST,44.5,7.7,8.3,8
USGS,6711565,2021-03-13 02:30,MST,44.5,7.7,8.3,8
USGS,6711565,2021-03-13 02:45,MST,44.5,7.6,8.2,8
USGS,6711565,2021-03-13 03:00,MST,44.5,7.6,8.2,8
USGS,6711565,2021-03-13 03:15,MST,44.5,7.6,8.2,8
USGS,6711565,2021-03-13 03:30,MST,44.5,7.6,8.2,8
USGS,6711565,2021-03-13 03:45,MST,44.5,7.6,8.2,8
USGS,6711565,2021-03-13 04:00,MST,44.5,7.5,8.2,8
USGS,6711565,2021-03-13 04:15,MST,46.5,7.5,8.2,8
USGS,6711565,2021-03-13 04:30,MST,46.5,7.5,8.2,8
USGS,6711565,2021-03-13 04:45,MST,46.5,7.4,8.2,8
USGS,6711565,2021-03-13 05:00,MST,46.5,7.4,8.2,8
USGS,6711565,2021-03-13 05:15,MST,46.5,7.4,8.2,8
USGS,6711565,2021-03-13 05:30,MST,46.5,7.3,8.2,7.9
USGS,6711565,2021-03-13 05:45,MST,46.5,7.3,8.2,7.9
USGS,6711565,2021-03-13 06:00,MST,46.5,7.2,8.2,7.9
USGS,6711565,2021-03-13 06:15,MST,46.5,7.2,8.2,7.9
USGS,6711565,2021-03-13 06:30,MST,46.5,7.1,8.2,7.9
USGS,6711565,2021-03-13 06:45,MST,46.5,7.1,8.2,7.9
USGS,6711565,2021-03-13 07:00,MST,46.5,,8.2,7.9
USGS,6711565,2021-03-13 07:15,MST,46.5,7,8.3,7.9
USGS,6711565,2021-03-13 07:30,MST,46.5,7,8.3,7.8
USGS,6711565,2021-03-13 07:45,MST,46.5,6.9,8.4,7.8
USGS,6711565,2021-03-13 08:00,MST,46.5,6.9,8.4,7.8
USGS,6711565,2021-03-13 08:15,MST,46.5,6.9,8.5,7.8
USGS,6711565,2021-03-13 08:30,MST,46.5,6.9,8.6,7.8
USGS,6711565,2021-03-13 08:45,MST,46.5,6.8,8.8,7.8
USGS,6711565,2021-03-13 09:00,MST,46.5,6.8,8.9,7.8
USGS,6711565,2021-03-13 09:15,MST,46.5,6.8,9,7.9
USGS,6711565,2021-03-13 09:30,MST,46.5,6.8,9.1,7.9
USGS,6711565,2021-03-13 09:45,MST,46.5,6.8,9.2,7.9
USGS,6711565,2021-03-13 10:00,MST,46.5,6.8,9.3,7.9
USGS,6711565,2021-03-13 10:15,MST,44.5,6.8,9.4,7.9
USGS,6711565,2021-03-13 10:30,MST,44.5,6.8,9.6,7.9
USGS,6711565,2021-03-13 10:45,MST,44.5,6.7,9.6,7.9
USGS,6711565,2021-03-13 11:00,MST,42.6,6.7,9.7,7.9
USGS,6711565,2021-03-13 11:15,MST,42.6,6.7,9.8,7.9
USGS,6711565,2021-03-13 11:30,MST,42.6,6.7,9.9,7.9
USGS,6711565,2021-03-13 11:45,MST,42.6,6.7,10.2,7.9
USGS,6711565,2021-03-13 12:00,MST,46.5,6.7,10.3,7.9
USGS,6711565,2021-03-13 12:15,MST,,6.6,10.3,7.9
